"","X","file_id","newspaper_name1","news_address","news_location.lon","news_location.lat","city1","newspaper_state_code","date","year","page","URL","lynch_address","city_lynch","state_lynch","lynching.lon","lynching.lat","Comments.or.notes.","index","sn","news_location","lynch_location","miles","in_state","decade","Newspaper_State","Newspaper_Region"
"1705",1778,17347,"Fremont weekly freeman ","Fremont, Ohio",-83.12186,41.35033,"Fremont","OH","6/28/1851",1851,"seq-3","https://articleextractor.org/pages/17347/ohi_ingstad_ver01/sn85026051/1851/06/28/ed-1/seq-3/1","Milton, FL","Milton","FL",-87.039688,30.632415,"Same article, different newspaper about the man lynched in Florida.",1292,"sn85026051","-83.12186, 41.35033","-87.039688, 30.632415",773,"N","1850s","Ohio","North Central"
"1706",1779,17348,"Weekly North Carolina standard ","Raleigh, North Carolina",-78.63818,35.77959,"Raleigh","NC","6/25/1851",1851,"seq-1","https://articleextractor.org/pages/17348/ncu_alligator_ver01/sn84045030/1851/06/25/ed-1/seq-1/1","None, NONE","None","NONE",NA,NA,NA,1293,"sn84045030","-78.63818, 35.77959","NA, NA",NA,"N","1850s","North Carolina","South"
"1707",1780,17349,"Fayetteville observer ","Fayetteville, Tennessee",-86.57055,35.152027,"Fayetteville","TN","6/24/1851",1851,"seq-2","https://articleextractor.org/pages/17349/tu_homer_ver01/sn85033395/1851/06/24/ed-1/seq-2/1","Milton, FL","Milton","FL",-87.039688,30.632415,"The same Milton, FL lynching of the white man and his accomplice (a black man) but in a new newspaper.",1294,"sn85033395","-86.57055, 35.152027","-87.039688, 30.632415",314,"N","1850s","Tennessee","South"
"1708",1781,17350,"The daily Minnesota pioneer ","St. Paul, Minnesota",-93.08996,44.953703,"St. Paul","MN","5/31/1855",1855,"seq-2","https://articleextractor.org/pages/17350/mnhi_foxtrot_ver01/sn84035804/1855/05/31/ed-1/seq-2/1","Ithaca, NY","Ithaca","NY",-76.501881,42.443961,NA,1295,"sn84035804","-93.08996, 44.953703","-76.501881, 42.443961",846,"N","1850s","Minnesota","North Central"
"1709",1782,17351,"Mineral Point tribune ","Mineral Point, Wisconsin",-90.17985,42.859997,"Mineral Point","WI","5/30/1855",1855,"seq-2","https://articleextractor.org/pages/17351/whi_inez_ver01/sn85033189/1855/05/30/ed-1/seq-2/1","San Diego County, CA","San Diego County","CA",-116.608165,33.093381,NA,1296,"sn85033189","-90.17985, 42.859997","-116.608165, 33.093381",1583,"N","1850s","Wisconsin","North Central"
"1710",1783,17352,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","5/29/1855",1855,"seq-3","https://articleextractor.org/pages/17352/vi_manowar_ver01/sn84024738/1855/05/29/ed-1/seq-3/1","Weston, MO","Weston","MO",-94.90163,39.411109,"A man was tarred and feathered and paraded through the streets but made it out with his life. Newspaper is calling it a lynching and a ""tragedy"".",1297,"sn84024738","-77.43605, 37.540725","-94.90163, 39.411109",953,"N","1850s","Virginia","South"
"1711",1784,17353,"Burlington tri-weekly hawk-eye ","Burlington , Iowa",-91.11289,40.807653,"Burlington ","IA","5/28/1855",1855,"seq-2","https://articleextractor.org/pages/17353/iahi_abra_ver01/sn85049817/1855/05/28/ed-1/seq-2/1","Ithaca, NY","Ithaca","NY",-76.501881,42.443961,"Repeat of a mentioned lynching, in a different newspaper.",1298,"sn85049817","-91.11289, 40.807653","-76.501881, 42.443961",763,"N","1850s","Iowa","North Central"
"1712",1785,17353,"Burlington tri-weekly hawk-eye ","Burlington , Iowa",-91.11289,40.807653,"Burlington ","IA","5/28/1855",1855,"seq-2","https://articleextractor.org/pages/17353/iahi_abra_ver01/sn85049817/1855/05/28/ed-1/seq-2/1","Ithaca, NY","Ithaca","NY",-76.501881,42.443961,"Repeat of a mentioned lynching, in a different newspaper.",1299,"sn85049817","-91.11289, 40.807653","-76.501881, 42.443961",763,"N","1850s","Iowa","North Central"
"1713",1786,17355,"The daily Minnesota pioneer ","St. Paul, Minnesota",-93.08996,44.953703,"St. Paul","MN","5/18/1855",1855,"seq-3","https://articleextractor.org/pages/17355/mnhi_foxtrot_ver01/sn84035804/1855/05/18/ed-1/seq-3/1","Leavenworth City, KS","Leavenworth City","KS",-94.927937,39.310352,"Threats of lynching being made.",1300,"sn84035804","-93.08996, 44.953703","-94.927937, 39.310352",402,"N","1850s","Minnesota","North Central"
"1714",1787,17358,"The Santa Fe weekly gazette ","Santa Fe, New Mexico",-105.9378,35.686975,"Santa Fe","NM","11/27/1852",1852,"seq-2","https://articleextractor.org/pages/17358/nmu_coyote_ver02/sn84022165/1852/11/27/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1301,"sn84022165","-105.9378, 35.686975","NA, NA",NA,"N","1850s","New Mexico","West"
"1715",1788,17360,"Lynchburg daily Virginian ","Lynchburg , Virginia",-79.14225,37.413754,"Lynchburg ","VA","9/11/1852",1852,"seq-1","https://articleextractor.org/pages/17360/vi_exmoor_ver01/sn85034360/1852/09/11/ed-1/seq-1/1","San Francisco, CA","San Francisco","CA",-122.419415,37.774929,"A boy shot someone on a boat from Hawaii than was taken off the ship and lynched.",1302,"sn85034360","-79.14225, 37.413754","-122.419415, 37.774929",2350,"N","1850s","Virginia","South"
"1716",1789,17362,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","8/14/1852",1852,"seq-2","https://articleextractor.org/pages/17362/vi_manowar_ver01/sn84024738/1852/08/14/ed-1/seq-2/2","San Francisco, CA","San Francisco","CA",-122.419415,37.774929,NA,1303,"sn84024738","-77.43605, 37.540725","-122.419415, 37.774929",2439,"N","1850s","Virginia","South"
"1717",1790,17362,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","8/14/1852",1852,"seq-2","https://articleextractor.org/pages/17362/vi_manowar_ver01/sn84024738/1852/08/14/ed-1/seq-2/2","San Francisco, CA","San Francisco","CA",-122.419415,37.774929,NA,1304,"sn84024738","-77.43605, 37.540725","-122.419415, 37.774929",2439,"N","1850s","Virginia","South"
"1718",1791,17363,"Grand River times ","Grand Haven, Michigan",-86.22839,43.063073,"Grand Haven","MI","8/4/1852",1852,"seq-2","https://articleextractor.org/pages/17363/mimtptc_alpena_ver01/sn85026466/1852/08/04/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1305,"sn85026466","-86.22839, 43.063073","NA, NA",NA,"N","1850s","Michigan","North Central"
"1719",1792,17364,"Vermont watchman and State journal ","Montpelier, Vermont",-72.57539,44.260059,"Montpelier","VT","7/29/1852",1852,"seq-3","https://articleextractor.org/pages/17364/vtu_foxville_ver01/sn84023200/1852/07/29/ed-1/seq-3/1","None, NONE","None","NONE",NA,NA,NA,1306,"sn84023200","-72.57539, 44.260059","NA, NA",NA,"N","1850s","Vermont","Northeast"
"1720",1793,17365,"The Portsmouth inquirer ","Portsmouth, Ohio",-82.99767,38.731743,"Portsmouth","OH","6/23/1851",1851,"seq-3","https://articleextractor.org/pages/17365/ohi_drake_ver01/sn85026203/1851/06/23/ed-1/seq-3/1","El Paso, TX","El Paso","TX",-106.485022,31.761878,"Talking about many lynchings happening in the area.",1307,"sn85026203","-82.99767, 38.731743","-106.485022, 31.761878",1407,"N","1850s","Ohio","North Central"
"1721",1794,17366,"Mississippi palladium ","Holly Springs, Mississippi",-89.44869,34.767597,"Holly Springs","MS","6/20/1851",1851,"seq-2","https://articleextractor.org/pages/17366/msar_goldenharvest_ver01/sn83016883/1851/06/20/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1308,"sn83016883","-89.44869, 34.767597","NA, NA",NA,"N","1850s","Mississippi","South"
"1722",1795,17367,"Richmond daily times ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","6/19/1851",1851,"seq-3","https://articleextractor.org/pages/17367/vi_icelandic_ver01/sn84024692/1851/06/19/ed-1/seq-3/1","None, NONE","None","NONE",NA,NA,NA,1309,"sn84024692","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1723",1796,17369,"Richmond daily times ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","6/18/1851",1851,"seq-3","https://articleextractor.org/pages/17369/vi_icelandic_ver01/sn84024692/1851/06/18/ed-1/seq-3/1","None, NONE","None","NONE",NA,NA,NA,1310,"sn84024692","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1724",1797,17370,"The daily crescent ",", Louisiana",-91.52086,30.519078,"","LA","6/13/1851",1851,"seq-2","https://articleextractor.org/pages/17370/lu_diglett_ver01/sn82015378/1851/06/13/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1311,"sn82015378","-91.52086, 30.519078","NA, NA",NA,"N","1850s","Louisiana","South"
"1725",1798,17371,"Vermont watchman and State journal ","Montpelier, Vermont",-72.57539,44.260059,"Montpelier","VT","6/12/1851",1851,"seq-1","https://articleextractor.org/pages/17371/vtu_foxville_ver01/sn84023200/1851/06/12/ed-1/seq-1/1","Placer County, CA","Placer County","CA",-120.803947,39.091575,NA,1312,"sn84023200","-72.57539, 44.260059","-120.803947, 39.091575",2481,"N","1850s","Vermont","Northeast"
"1726",1799,17371,"Vermont watchman and State journal ","Montpelier, Vermont",-72.57539,44.260059,"Montpelier","VT","6/12/1851",1851,"seq-1","https://articleextractor.org/pages/17371/vtu_foxville_ver01/sn84023200/1851/06/12/ed-1/seq-1/1","Placer County, CA","Placer County","CA",-120.803947,39.091575,NA,1313,"sn84023200","-72.57539, 44.260059","-120.803947, 39.091575",2481,"N","1850s","Vermont","Northeast"
"1727",1800,17372,"Richmond daily times ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","6/12/1851",1851,"seq-2","https://articleextractor.org/pages/17372/vi_icelandic_ver01/sn84024692/1851/06/12/ed-1/seq-2/1","El Paso, TX","El Paso","TX",-106.485022,31.761878,"Same article, different date published.",1314,"sn84024692","-77.43605, 37.540725","-106.485022, 31.761878",1693,"N","1850s","Virginia","South"
"1728",1801,17373,"The times-news ","Hendersonville, North Carolina",-82.46095,35.318728,"Hendersonville","NC","5/18/1935",1935,"seq-3","https://articleextractor.org/pages/17373/ncu_endive_ver02/sn86063811/1935/05/18/ed-1/seq-3/1","None, NONE","None","NONE",NA,NA,NA,1315,"sn86063811","-82.46095, 35.318728","NA, NA",NA,"N","1930s","North Carolina","South"
"1729",1802,17375,"El heraldo de Brownsville ","Brownsville, Texas",-97.49748,25.901747,"Brownsville","TX","6/23/1935",1935,"seq-10","https://articleextractor.org/pages/17375/txdn_jordan_ver01/sn87056978/1935/06/23/ed-1/seq-10/1","Wiggins, MS","Wiggins","MS",-89.135328,30.858244,"Man lynched for an attempted attack on an 11-year-old girl.",1316,"sn87056978","-97.49748, 25.901747","-89.135328, 30.858244",613,"N","1930s","Texas","South"
"1730",1803,17376,"Worcester Democrat and the ledger-enterprise. ","Pocomoke City, Maryland",-75.56798,38.075677,"Pocomoke City","MD","7/12/1935",1935,"seq-10","https://articleextractor.org/pages/17376/mdu_frederick_ver03/sn89060127/1935/07/12/ed-1/seq-10/1","None, NONE","None","NONE",NA,NA,NA,1317,"sn89060127","-75.56798, 38.075677","NA, NA",NA,"N","1930s","Maryland","South"
"1731",1804,17377,"The Bismarck tribune ","Bismarck, North Dakota",-100.78769,46.805495,"Bismarck","ND","7/15/1935",1935,"seq-1","https://articleextractor.org/pages/17377/ndhi_jemhadar_ver01/sn85042243/1935/07/15/ed-1/seq-1/1","Columbus, MS","Columbus","MS",-88.427263,33.495674,"Two black people lynched by a mob.",1318,"sn85042243","-100.78769, 46.805495","-88.427263, 33.495674",1126,"N","1930s","North Dakota","North Central"
"1732",1805,17378,"The times-news ","Hendersonville, North Carolina",-82.46095,35.318728,"Hendersonville","NC","7/16/1935",1935,"seq-1","https://articleextractor.org/pages/17378/ncu_endive_ver02/sn86063811/1935/07/16/ed-1/seq-1/1","Columbus, MS","Columbus","MS",-88.427263,33.495674,"Same one as before (two black people lynched) different paper.",1319,"sn86063811","-82.46095, 35.318728","-88.427263, 33.495674",363,"N","1930s","North Carolina","South"
"1733",1806,17379,"Henderson daily dispatch. ","Henderson, North Carolina",-78.40269,36.327266,"Henderson","NC","7/31/1935",1935,"seq-1","https://articleextractor.org/pages/17379/ncu_isner_ver01/sn91068401/1935/07/31/ed-1/seq-1/1","Franklin County near Louisburg., NC","Franklin County near Louisburg.","NC",-78.301106,36.099039,"Multiple articles talking about the lynching, rewards offered for information about the lynching, etc.",1320,"sn91068401","-78.40269, 36.327266","-78.301106, 36.099039",17,"Y","1930s","North Carolina","South"
"1734",1807,17379,"Henderson daily dispatch. ","Henderson, North Carolina",-78.40269,36.327266,"Henderson","NC","7/31/1935",1935,"seq-1","https://articleextractor.org/pages/17379/ncu_isner_ver01/sn91068401/1935/07/31/ed-1/seq-1/1","Franklin County near Louisburg., NC","Franklin County near Louisburg.","NC",-78.301106,36.099039,"Multiple articles talking about the lynching, rewards offered for information about the lynching, etc.",1321,"sn91068401","-78.40269, 36.327266","-78.301106, 36.099039",17,"Y","1930s","North Carolina","South"
"1735",1808,17379,"Henderson daily dispatch. ","Henderson, North Carolina",-78.40269,36.327266,"Henderson","NC","7/31/1935",1935,"seq-1","https://articleextractor.org/pages/17379/ncu_isner_ver01/sn91068401/1935/07/31/ed-1/seq-1/1","Franklin County near Louisburg., NC","Franklin County near Louisburg.","NC",-78.301106,36.099039,"Multiple articles talking about the lynching, rewards offered for information about the lynching, etc.",1322,"sn91068401","-78.40269, 36.327266","-78.301106, 36.099039",17,"Y","1930s","North Carolina","South"
"1736",1809,17379,"Henderson daily dispatch. ","Henderson, North Carolina",-78.40269,36.327266,"Henderson","NC","7/31/1935",1935,"seq-1","https://articleextractor.org/pages/17379/ncu_isner_ver01/sn91068401/1935/07/31/ed-1/seq-1/1","Franklin County near Louisburg., NC","Franklin County near Louisburg.","NC",-78.301106,36.099039,"Multiple articles talking about the lynching, rewards offered for information about the lynching, etc.",1323,"sn91068401","-78.40269, 36.327266","-78.301106, 36.099039",17,"Y","1930s","North Carolina","South"
"1737",1810,17380,"Henderson daily dispatch. ","Henderson, North Carolina",-78.40269,36.327266,"Henderson","NC","8/2/1935",1935,"seq-1","https://articleextractor.org/pages/17380/ncu_isner_ver01/sn91068401/1935/08/02/ed-1/seq-1/1","Louisburg, NC","Louisburg","NC",-78.301106,36.099039,"Speaking about a lynching that happened a couple of days before that edition of the paper.",1324,"sn91068401","-78.40269, 36.327266","-78.301106, 36.099039",17,"Y","1930s","North Carolina","South"
"1738",1811,17381,"The times-news ","Hendersonville, North Carolina",-82.46095,35.318728,"Hendersonville","NC","8/3/1935",1935,"seq-2","https://articleextractor.org/pages/17381/ncu_endive_ver02/sn86063811/1935/08/03/ed-1/seq-2/1","Franklin County near Louisburg., NC","Franklin County near Louisburg.","NC",-78.301106,36.099039,"Talking about the same lynching event and how officers could've done more and the mob should be ashamed.",1325,"sn86063811","-82.46095, 35.318728","-78.301106, 36.099039",240,"Y","1930s","North Carolina","South"
"1739",1812,17383,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","4/17/1856",1856,"seq-1","https://articleextractor.org/pages/17383/vi_manowar_ver01/sn84024738/1856/04/17/ed-1/seq-1/1","None, NONE","None","NONE",NA,NA,NA,1326,"sn84024738","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1740",1814,17385,"The Athens post ","Athens, Tennessee",-84.59299,35.442851,"Athens","TN","4/4/1856",1856,"seq-2","https://articleextractor.org/pages/17385/tu_nancy_ver01/sn84024443/1856/04/04/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1328,"sn84024443","-84.59299, 35.442851","NA, NA",NA,"N","1850s","Tennessee","South"
"1741",1815,17386,"Lynchburg daily Virginian ","Lynchburg , Virginia",-79.14225,37.413754,"Lynchburg ","VA","3/29/1856",1856,"seq-3","https://articleextractor.org/pages/17386/vi_exmoor_ver01/sn85034360/1856/03/29/ed-1/seq-3/1","Lewis County, VA","Lewis County","VA",-80.543845,39.019617,NA,1329,"sn85034360","-79.14225, 37.413754","-80.543845, 39.019617",135,"Y","1850s","Virginia","South"
"1742",1817,17389,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","3/28/1856",1856,"seq-1","https://articleextractor.org/pages/17389/vi_manowar_ver01/sn84024738/1856/03/28/ed-1/seq-1/2","Lewis County, VA","Lewis County","VA",-80.543845,39.019617,"Same as a lynching from before, in a different publication.",1331,"sn84024738","-77.43605, 37.540725","-80.543845, 39.019617",197,"Y","1850s","Virginia","South"
"1743",1818,17390,"Tribune and telegraph ","Kenosha, Wisconsin",-87.82118,42.584742,"Kenosha","WI","3/13/1856",1856,"seq-2","https://articleextractor.org/pages/17390/whi_dynamite_ver01/sn85040307/1856/03/13/ed-1/seq-2/1","Janesville, WI","Janesville","WI",-89.018722,42.682789,NA,1332,"sn85040307","-87.82118, 42.584742","-89.018722, 42.682789",61,"Y","1850s","Wisconsin","North Central"
"1744",1819,17391,"Mineral Point tribune ","Mineral Point, Wisconsin",-90.17985,42.859997,"Mineral Point","WI","2/26/1856",1856,"seq-2","https://articleextractor.org/pages/17391/whi_inez_ver01/sn85033189/1856/02/26/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1333,"sn85033189","-90.17985, 42.859997","NA, NA",NA,"N","1850s","Wisconsin","North Central"
"1745",1820,17393,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","2/6/1857",1857,"seq-4","https://articleextractor.org/pages/17393/vi_manowar_ver01/sn84024738/1857/02/06/ed-1/seq-4/2","None, NONE","None","NONE",NA,NA,NA,1334,"sn84024738","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1746",1822,17395,"American union ","Morgantown, West Virginia",-79.9559,39.629526,"Morgantown","WV","1/3/1857",1857,"seq-2","https://articleextractor.org/pages/17395/wvu_lincoln_ver01/sn86092124/1857/01/03/ed-1/seq-2/1","Louisville, KY","Louisville","KY",-85.758456,38.252665,"Attempted lynching.",1336,"sn86092124","-79.9559, 39.629526","-85.758456, 38.252665",326,"N","1850s","West Virginia","South"
"1747",1823,17396,"Anti-slavery bugle ","New-Lisbon, Ohio",-80.76813,40.772004,"New-Lisbon","OH","1/3/1857",1857,"seq-2","https://articleextractor.org/pages/17396/ohi_ariel_ver02/sn83035487/1857/01/03/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1337,"sn83035487","-80.76813, 40.772004","NA, NA",NA,"N","1850s","Ohio","North Central"
"1748",1824,17397,"Semi-weekly standard ","Raleigh, North Carolina",-78.63818,35.77959,"Raleigh","NC","1/3/1857",1857,"seq-3","https://articleextractor.org/pages/17397/ncu_broad_ver01/sn83045450/1857/01/03/ed-1/seq-3/1","Louiseville, KY","Louiseville","KY",-85.758456,38.252665,"A lynching mentioned from earlier in a different publication.",1338,"sn83045450","-78.63818, 35.77959","-85.758456, 38.252665",429,"N","1850s","North Carolina","South"
"1749",1825,17398,"Fremont journal ","Fremont, Ohio",-83.12186,41.35033,"Fremont","OH","1/2/1857",1857,"seq-1","https://articleextractor.org/pages/17398/ohi_cobweb_ver04/sn85026050/1857/01/02/ed-1/seq-1/1","None, NONE","None","NONE",NA,NA,NA,1339,"sn85026050","-83.12186, 41.35033","NA, NA",NA,"N","1850s","Ohio","North Central"
"1750",1826,17399,"Lynchburg daily Virginian ","Lynchburg , Virginia",-79.14225,37.413754,"Lynchburg ","VA","12/30/1856",1856,"seq-3","https://articleextractor.org/pages/17399/vi_exmoor_ver01/sn85034360/1856/12/30/ed-1/seq-3/1","Louiseville, KY","Louiseville","KY",-85.758456,38.252665,"Attempted lynching.",1340,"sn85034360","-79.14225, 37.413754","-85.758456, 38.252665",366,"N","1850s","Virginia","South"
"1751",1827,17400,"Richmond enquirer ","Richmond, Virginia",-77.43605,37.540725,"Richmond","VA","12/30/1856",1856,"seq-4","https://articleextractor.org/pages/17400/vi_chanel_ver01/sn84024735/1856/12/30/ed-1/seq-4/1","Louiseville, KY","Louiseville","KY",-85.758456,38.252665,"Same article as before, different newspaper.",1341,"sn84024735","-77.43605, 37.540725","-85.758456, 38.252665",457,"N","1850s","Virginia","South"
"1752",1828,17401,"The Cadiz Democratic sentinel ","Cadiz, Ohio",-80.99676,40.272845,"Cadiz","OH","12/17/1856",1856,"seq-1","https://articleextractor.org/pages/17401/ohi_julian_ver02/sn84028794/1856/12/17/ed-1/seq-1/1","Manchester, KY","Manchester","KY",-83.761864,37.153701,NA,1342,"sn84028794","-80.99676, 40.272845","-83.761864, 37.153701",262,"N","1850s","Ohio","North Central"
"1753",1829,17401,"The Cadiz Democratic sentinel ","Cadiz, Ohio",-80.99676,40.272845,"Cadiz","OH","12/17/1856",1856,"seq-1","https://articleextractor.org/pages/17401/ohi_julian_ver02/sn84028794/1856/12/17/ed-1/seq-1/1","Manchester, KY","Manchester","KY",-83.761864,37.153701,NA,1343,"sn84028794","-80.99676, 40.272845","-83.761864, 37.153701",262,"N","1850s","Ohio","North Central"
"1754",1830,17403,"Burlington free press ","Burlington, Vermont",-73.21207,44.475882,"Burlington","VT","12/5/1856",1856,"seq-2","https://articleextractor.org/pages/17403/vtu_adamant_ver01/sn84023127/1856/12/05/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1344,"sn84023127","-73.21207, 44.475882","NA, NA",NA,"N","1850s","Vermont","Northeast"
"1755",1831,17404,"The Tiffin tribune ","Tiffin, Ohio",-83.17798,41.114499,"Tiffin","OH","12/5/1856",1856,"seq-2","https://articleextractor.org/pages/17404/ohi_iago_ver01/sn85026279/1856/12/05/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1345,"sn85026279","-83.17798, 41.114499","NA, NA",NA,"N","1850s","Ohio","North Central"
"1756",1832,17405,"Weekly hawk-eye and telegraph ","Burlington, Iowa",-91.11289,40.807653,"Burlington","IA","12/3/1856",1856,"seq-1","https://articleextractor.org/pages/17405/iahi_abra_ver01/sn84037930/1856/12/03/ed-1/seq-1/1","Pottawatomie Creek, Franklin County, KS","Pottawatomie Creek, Franklin County","KS",-95.211115,38.375342,NA,1346,"sn84037930","-91.11289, 40.807653","-95.211115, 38.375342",276,"N","1850s","Iowa","North Central"
"1757",1833,17406,"Anti-slavery bugle ","New-Lisbon, Ohio",-80.76813,40.772004,"New-Lisbon","OH","11/29/1856",1856,"seq-2","https://articleextractor.org/pages/17406/ohi_ariel_ver02/sn83035487/1856/11/29/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1347,"sn83035487","-80.76813, 40.772004","NA, NA",NA,"N","1850s","Ohio","North Central"
"1758",1834,17407,"The Opelousas patriot ","Opelousas, Louisiana",-92.08151,30.53353,"Opelousas","LA","11/29/1856",1856,"seq-2","https://articleextractor.org/pages/17407/lu_charizard_ver01/sn86079076/1856/11/29/ed-1/seq-2/1","Pottawatomie Creek, Franklin County, KS","Pottawatomie Creek, Franklin County","KS",-95.211115,38.375342,"Same article, different paper.",1348,"sn86079076","-92.08151, 30.53353","-95.211115, 38.375342",571,"N","1850s","Louisiana","South"
"1759",1835,17408,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","11/26/1856",1856,"seq-1","https://articleextractor.org/pages/17408/vi_manowar_ver01/sn84024738/1856/11/26/ed-1/seq-1/1","None, NONE","None","NONE",NA,NA,NA,1349,"sn84024738","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1760",1836,17409,"Staunton spectator ","Staunton, Virginia",-79.0717,38.149576,"Staunton","VA","11/26/1856",1856,"seq-2","https://articleextractor.org/pages/17409/vi_loons_ver01/sn84024718/1856/11/26/ed-1/seq-2/1","Pottawatomie Creek, Franklin County, KS","Pottawatomie Creek, Franklin County","KS",-95.211115,38.375342,"Same article, different paper.",1350,"sn84024718","-79.0717, 38.149576","-95.211115, 38.375342",876,"N","1850s","Virginia","South"
"1761",1837,17411,"Richmond daily Whig ","Richmond, Virginia",-77.43605,37.540725,"Richmond","VA","11/25/1856",1856,"seq-3","https://articleextractor.org/pages/17411/vi_balikun_ver01/sn84024656/1856/11/25/ed-1/seq-3/1","Middlesex County, VA","Middlesex County","VA",-76.525701,37.604011,"Attempted lynching",1351,"sn84024656","-77.43605, 37.540725","-76.525701, 37.604011",50,"Y","1850s","Virginia","South"
"1762",1838,17412,"Lynchburg daily Virginian ","Lynchburg , Virginia",-79.14225,37.413754,"Lynchburg ","VA","11/7/1856",1856,"seq-2","https://articleextractor.org/pages/17412/vi_exmoor_ver01/sn85034360/1856/11/07/ed-1/seq-2/1","San Andreas, CA","San Andreas","CA",-120.680487,38.19603,"Attempted lynching.",1352,"sn85034360","-79.14225, 37.413754","-120.680487, 38.19603",2251,"N","1850s","Virginia","South"
"1763",1839,17414,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","9/8/1856",1856,"seq-2","https://articleextractor.org/pages/17414/vi_manowar_ver01/sn84024738/1856/09/08/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1353,"sn84024738","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1764",1840,17415,"The daily dispatch ","Richmond , Virginia",-77.43605,37.540725,"Richmond ","VA","9/8/1856",1856,"seq-1","https://articleextractor.org/pages/17415/vi_manowar_ver01/sn84024738/1856/09/08/ed-1/seq-1/1","None, NONE","None","NONE",NA,NA,NA,1354,"sn84024738","-77.43605, 37.540725","NA, NA",NA,"N","1850s","Virginia","South"
"1765",1841,17416,"The weekly Portage sentinel ","Ravenna, Ohio",-81.24205,41.157557,"Ravenna","OH","9/4/1856",1856,"seq-4","https://articleextractor.org/pages/17416/ohi_gann_ver01/sn83035102/1856/09/04/ed-1/seq-4/1","NA, KS",NA,"KS",NA,NA,"Mentioning of lynching the Gov.",1355,"sn83035102","-81.24205, 41.157557","NA, NA",NA,"N","1850s","Ohio","North Central"
"1766",1842,17417,"Mineral Point tribune ","Mineral Point, Wisconsin",-90.17985,42.859997,"Mineral Point","WI","8/26/1856",1856,"seq-2","https://articleextractor.org/pages/17417/whi_inez_ver01/sn85033189/1856/08/26/ed-1/seq-2/1","None, NONE","None","NONE",NA,NA,NA,1356,"sn85033189","-90.17985, 42.859997","NA, NA",NA,"N","1850s","Wisconsin","North Central"
"1767",1843,17418,"The weekly Portage sentinel ","Ravenna, Ohio",-81.24205,41.157557,"Ravenna","OH","8/21/1856",1856,"seq-4","https://articleextractor.org/pages/17418/ohi_gann_ver01/sn83035102/1856/08/21/ed-1/seq-4/1","NA, KS",NA,"KS",NA,NA,"Repeat of Gov. lynching article.",1357,"sn83035102","-81.24205, 41.157557","NA, NA",NA,"N","1850s","Ohio","North Central"
"1768",1844,17419,"Burlington free press ","Burlington, Vermont",-73.21207,44.475882,"Burlington","VT","8/8/1856",1856,"seq-1","https://articleextractor.org/pages/17419/vtu_adamant_ver01/sn84023127/1856/08/08/ed-1/seq-1/1","None, NONE","None","NONE",NA,NA,NA,1358,"sn84023127","-73.21207, 44.475882","NA, NA",NA,"N","1850s","Vermont","Northeast"
"1769",1845,17420,"The weekly Portage sentinel ","Ravenna, Ohio",-81.24205,41.157557,"Ravenna","OH","8/7/1856",1856,"seq-4","https://articleextractor.org/pages/17420/ohi_gann_ver01/sn83035102/1856/08/07/ed-1/seq-4/1","NA, KS",NA,"KS",NA,NA,"Repeat fo the Gov. lynching",1359,"sn83035102","-81.24205, 41.157557","NA, NA",NA,"N","1850s","Ohio","North Central"
